vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",20,4,0,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",21,3,1,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]",22,2,2,True,False,True,False,True,True,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,4|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",21,3,1,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",22,2,2,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,2|1,1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4]",23,1,3,True,False,True,False,True,True,False,False,"1,1,1,1,1|1,1,1,1,2|1,1,4|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]",23,1,3,True,False,False,True,True,True,False,False,"1,1,1,1,1|1,1,1,3|1,1,1,3|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4]",24,0,4,True,False,True,True,False,True,False,False,"1,1,1,3|1,1,4|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]",25,5,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",22,2,2,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,2|1,1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3]",23,1,3,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,2|1,1,1,1,2|1,1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4]",24,0,4,True,False,True,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,1,4|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3]",24,0,4,True,False,False,True,True,True,False,False,"1,1,1,1,2|1,1,1,3|1,1,1,3|1,1,1,1,1,1"
