vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,1,1,True,False,False,False,True,True,False,False,"1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",12,0,2,True,False,False,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5]",15,3,0,True,False,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4]",15,3,0,True,True,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5]",16,2,1,True,False,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]",15,3,0,True,False,True,False,True,False,False,False,"1,1,1,1,1|1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4]",16,2,1,True,False,True,False,True,False,False,False,"1,1,1,1,1|1,1,3|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5]",17,1,2,True,False,False,True,False,True,False,False,"1,1,1,3|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]",17,1,2,True,False,True,False,True,False,False,False,"1,1,1,1,1|1,1,4|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5]",18,0,3,True,True,True,False,False,True,False,False,"1,1,4|1,5|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3]",15,3,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4]",16,2,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 5]",17,1,2,True,False,False,False,True,False,False,False,"1,1,1,1,2|1,1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3]",16,2,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4]",17,1,2,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,3|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 5]",18,0,3,True,True,False,True,True,False,False,False,"1,1,1,1,2|1,1,1,3|1,5"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4]",18,0,3,True,False,True,False,True,False,False,False,"1,1,1,1,2|1,1,4|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 5]",20,4,0,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3]",17,1,2,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4]",18,0,3,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,1,3|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 5]",20,4,0,True,True,True,False,True,False,False,False,"1,1,1,1,1|1,1,3|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 5]",21,3,1,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4]",20,4,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 5]",21,3,1,True,True,True,False,True,False,False,False,"1,1,1,1,1|1,1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 4, 5, 5]",22,2,2,True,False,True,False,False,True,False,False,"1,1,4|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5]",23,1,3,True,True,False,False,False,True,False,False,"1,5|1,5|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",15,3,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3]",16,2,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,2,3"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4]",17,1,2,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,2,2|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 5]",18,0,3,True,True,False,True,True,False,False,False,"1,1,1,1,2|1,1,2,2|1,5"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3]",17,1,2,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,1,3|1,2,3"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4]",18,0,3,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,2,2|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 5]",20,4,0,True,True,False,True,False,False,False,False,"1,1,1,2|1,1,1,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 2, 5, 5]",21,3,1,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,2,2"
"[1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3]",18,0,3,True,False,True,True,False,False,False,False,"1,1,1,3|1,1,1,3|1,2,3"
"[1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 5]",20,4,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 4]",20,4,0,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5]",21,3,1,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3|1,1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 3, 5, 5]",22,2,2,True,False,False,True,True,False,False,False,"1,1,1,1,2|1,1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4]",21,3,1,True,True,True,True,False,False,False,False,"1,1,1,2|1,1,4|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 5]",22,2,2,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,4|1,1,4"
